,fid,mean_cruise_altitude,distance,mean_cruise_tas,takeoff_mass
22426,4b18f3_26327,36002.083333333336,1072.92975659925,435.7303816636553,63785.55621233118
22427,4b18f3_26332,38145.5400192864,1003.7857981692864,445.6563493958967,58739.24218996972
22428,4b18f4_26343,37484.92438563327,1303.6460795316648,433.0196049683785,60772.154803149795
22429,4b18f4_26344,34247.130102040814,1040.566510846374,457.5608605530695,67764.65506589973
22430,4b1a1a_26467,37996.38287401575,1401.698917190666,436.45242889716747,59764.457275537265
22431,4b1a1a_26473,36908.16972767575,1173.021551420795,424.08139311511405,61874.11546449039
22432,4b1a1c_26494,36990.34057545508,1357.6338240017044,432.197280016082,62001.76377633595
22433,4b1a1d_26498,37605.199161425575,1556.6463490668095,430.1087569209485,60929.46891920765
22434,4b1a1d_26504,36217.3645320197,1341.5241774154947,439.5589796675469,63751.1924834868
22435,4b1a22_26529,34961.66556510245,1240.315608890295,448.2078241480083,66464.46863293952
22436,4b1a22_26534,37276.02097130243,1389.6191886406668,451.3346631334255,61399.83757224692
22437,4b1a22_26536,33953.470031545745,832.0230124558848,435.747072922295,68082.17988498861
22438,4b1a24_26551,36599.16219839142,1170.8319252611,431.7476744013954,62580.76127824928
22439,4b1a25_26563,35363.25079030559,1089.2835189323575,459.0031469488436,65282.25786428305
22440,4b1a26_26575,36018.796992481206,826.2380677961546,437.35446145774574,63324.12659661738
22441,4b1a28_26604,36964.69135802469,1036.2062258740016,441.0788998816113,61509.57472486871
22442,4b1a28_26608,32000.32445355191,1106.2240162216883,417.922699113568,73042.58744050196
22443,4b1a28_26616,38000.83668005354,896.4763386312377,432.66369708690377,58887.906579729635
22444,4b1a29_26632,33001.015625,813.2500573937566,420.8169410165283,70239.65794228292
22445,4b1a5f_26704,37032.39150090416,1027.759572279027,434.5971881788706,61339.4502476616
22446,4b1a5f_26708,35044.97282608696,820.034383367709,429.4729283005369,65552.28587076959
22447,4baa0e_27428,34045.53913043478,1830.4531479236268,437.0674509152519,69582.53609630413
22448,4baa0e_27429,34971.88445251059,1369.6047565090985,440.289851789824,66662.66940012887
22449,4c01e7_28552,36998.59786876052,1379.4247001130752,452.4819387488732,62020.14555991285
22450,4c01e7_28556,36318.62571372317,2032.1732686002456,447.1511195575114,64702.66030419657
22451,4c01e7_28558,34844.93127147766,2120.835945549072,445.3737620114616,68242.67707923845
22452,4ca15d_28612,37001.65952890792,1219.691526757932,432.9770106745148,61739.210400295284
22453,4ca15d_28620,37146.01966075559,1704.989303437692,444.0625433716088,62239.47635702521
22454,4ca214_28635,36001.55656795748,1441.08177466951,438.5596522975548,64418.04212820626
22455,4ca214_28637,36001.175,906.4121551096936,445.55974471034455,63502.11462176508
22456,4ca216_28663,36344.571192963165,1466.9587904947164,458.7673438608031,63673.83193760588
22457,4ca217_28675,36118.62920011894,2045.398916862258,435.16201633185193,65185.12535062511
22458,4ca280_29083,36000.85054678007,895.9548973608668,457.2460437246396,63484.92934001867
22459,4ca293_29099,35002.399049881235,1471.9154256728525,452.2631796567616,66767.95051375055
22460,4ca293_29100,37635.95052807115,1592.34246647446,450.68924837687126,60919.98089659968
22461,4ca293_29103,37881.37332280978,1087.9457289761908,443.8831715173157,59490.86474927496
22462,4ca2c9_29306,37001.70913610938,1205.5013712918424,431.0088624754819,61714.76431655741
22463,4ca2c9_29307,38001.12726506532,1554.7068484497922,450.9901854949332,60015.914666230456
22464,4ca2ca_29317,35991.036745406826,1281.3600202314924,446.6843719791788,64168.35002952456
22465,4ca2ca_29318,36987.12367778682,999.029162648369,442.90457412795007,61394.25541853254
22466,4ca5c8_29879,35682.79250457038,937.2838099680032,444.68519816569744,64287.00383689787
22467,4ca5c8_29881,36001.53736377789,1680.7526111941356,452.4782936513468,64829.052875942085
