,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude,pred,error,error_percent
98,ac2-227,38270.46041856233,2728.4465408856595,70034.66296386719,60763.23478393555,442.6840053529316,0.7636360327570517,38950.0,61357.87598598431,-8676.786977882875,12.389274982817392
99,ac1-115,36002.03631647211,1241.4793553114216,66641.79198608399,61888.14387817383,440.8088716047438,0.7605447470817119,36014.0,63970.51805922284,-2671.2739268611476,4.008406507764614
100,ac1-564,37997.37880032868,1646.4607505838956,63303.35209350586,57696.95031738281,442.426067228118,0.7686474938373048,38018.0,60087.41376452545,-3215.93832898041,5.080202268325575
101,ac2-182,32946.76567656766,1081.4175739020664,68184.00606689454,63702.51338500977,441.5382866068701,0.7439999999999999,32958.0,70723.8421744456,2539.836107551062,3.7249734271395822
102,ac1-294,34000.14649681529,1754.9357071657098,66877.66002197267,60454.79196777343,431.4132286467748,0.0,34008.0,69480.8132006736,2603.15317870093,3.892410676219329
103,ac2-420,38208.99965205289,2955.6332282166168,64918.14095458984,55338.269958496094,444.2538902443436,0.7599999999999999,39010.0,61898.15623660703,-3019.984717982814,4.651988910303654
104,ac2-214,32949.75796866559,1478.2605159384873,69853.2260131836,64119.818371582034,443.4580820779739,0.7759999999999999,32958.0,71413.52390685292,1560.2978936693253,2.2336805080052367
105,ac2-219,38303.46433594535,2694.624532584169,66805.08524169921,57896.53096313476,442.6511829951142,0.7599999999999999,38950.0,61222.52254440317,-5582.562697296045,8.356493636821908
106,ac1-036,35996.56215528214,2712.939792968826,68419.8741027832,58967.00897216797,442.3493257507242,0.7459601187950783,36022.0,66565.94850148771,-1853.9256012954866,2.7096302435611648
107,ac2-258,37720.98039215686,1763.317958201579,66097.48113403321,59928.62481079101,445.1246809432149,0.6639999999999999,37954.0,60928.894673664865,-5168.586460368344,7.819642097839442
108,ac2-443,35999.8835474513,2684.437320846995,72411.48701782226,62831.616021728514,441.90772398922905,0.6012648155822626,36020.0,66508.27166365464,-5903.215354167623,8.152318916907058
109,ac1-156,37015.64401709402,2551.163028275893,63775.0881652832,55265.69517822266,439.0610385086897,0.7359999999999999,39010.0,63935.70990702095,160.62174173774838,0.25185655772277693
110,ac1-572,38000.88644184446,2003.1562249602464,63575.50751953125,56680.90339355469,443.20638067275416,0.7447983482450103,38018.0,60705.43888547034,-2870.06863406091,4.514425045178265
111,ac2-036,37941.78586909406,1614.7039943729112,60781.37847900391,55229.40778808594,447.7835456940427,0.776,37954.0,60159.66565713004,-621.7128218738726,1.0228672620326218
112,ac1-017,34671.592897907416,1161.7215403853688,68238.43715209962,63521.076434326176,444.8104093626167,0.7279999999999999,35006.0,66893.65626709753,-1344.7808850020956,1.9707087986271652
113,ac2-396,35947.30656589514,2549.5291670111924,66641.79198608399,57914.674658203134,445.27337905312027,0.7681511572980633,35960.0,66392.52008533402,-249.27190074996906,0.3740474157748062
114,ac2-418,38001.39381443299,1826.716297462857,64119.818371582034,57932.81835327149,442.3399755302045,0.744,38014.0,60394.569027593636,-3725.2493439883983,5.809825165754731
115,ac2-360,36723.906236178686,2633.2652195127894,63865.80664062501,55120.54561767578,440.85390616291255,0.7713666519239274,38948.0,64751.502464771926,885.6958241469183,1.3868075434023057
116,ac1-025,33001.84520123839,1068.0012539462089,64700.41661376953,60491.07935791016,436.2138395059611,0.7304396284829721,33022.0,70573.48086152399,5873.064247754461,9.077320603380096
117,ac1-008,37322.274418604655,1269.3036977684187,59620.18199462891,55265.69517822266,441.1766619284384,0.7599999999999999,38006.0,60979.718123602855,1359.5361289739449,2.2803287133481467
118,ac2-483,35998.765196662695,2793.151271251568,70796.69815673829,60944.67173461914,441.2061341614594,0.7359999999999999,36018.0,66701.67005827694,-4095.028098461349,5.784207745670964
119,ac1-138,35474.19154030327,973.0889392568264,55610.425384521484,52054.26115112305,421.304395661278,0.7604916201117317,37998.0,64714.69650814182,9104.271123620332,16.371518578878558
120,ac2-102,36169.93808948005,2596.526823579469,69073.04712524415,60073.774371337895,439.52465275126167,0.0492575574365175,37938.0,65962.44031266628,-3110.6068125778693,4.503358317083762
121,ac1-021,36995.5579012729,2029.6114332857148,70016.51926879883,62015.14974365235,446.10840353121785,0.776,37014.0,63066.485229288155,-6950.034039510676,9.926277558627211
122,ac2-096,35999.124468731025,2606.6113579852627,71468.01487426758,62232.874084472656,441.5460753537289,0.7634551710180124,36014.0,66373.41286185727,-5094.602012410309,7.128506397404702
123,ac2-390,37943.48238897397,1768.4104223682175,63502.93273925781,57370.363806152345,440.1557848780778,0.7679999999999999,37954.0,60425.557713546325,-3077.375025711488,4.846036069463356
124,ac1-130,37995.94842037396,1216.9702538212612,63684.369689941406,59148.44592285156,443.9745431308656,0.7680000000000001,38028.0,59336.83033269372,-4347.53935724769,6.826697631482344
125,ac1-087,33000.956359567324,1701.0839574270262,63865.80664062501,57696.95031738281,439.2083955824904,0.7359999999999998,33014.0,71686.76553627382,7820.958895648808,12.24592517817492
126,ac1-146,36000.033866415804,958.3217105456416,56626.472308349614,53088.451770019536,425.7280958866444,0.7380244590780808,36018.0,63478.107053175045,6851.634744825431,12.099702604668792
127,ac1-222,38999.11973756151,1378.651406531599,56281.74210205078,51509.95029907227,440.2582270894046,0.768,39010.0,57310.98289890561,1029.2407968548287,1.828729457216509
128,ac2-301,32951.1103117506,1472.4484661186436,70959.99141235353,65299.15855102539,443.7620266239988,0.7452182254196642,32962.0,71400.20856811391,440.21715576038696,0.6203737444136006
129,ac1-137,37001.89203084833,1114.9608792570418,62178.44299926758,58005.39313354492,443.5607356080172,0.7600137103684661,37016.0,61446.432845540476,-732.0101537271039,1.1772732130583046
130,ac2-147,37999.984,1190.547525149962,60853.95325927735,56535.75383300781,440.2255156362074,0.76,38014.0,59281.15972603753,-1572.7935332398192,2.5845379782291182
131,ac2-271,33000.98563535912,1703.6761219164357,68637.59844360352,62232.874084472656,440.32010411605097,0.776,33014.0,71691.24811135563,3053.6496677521063,4.448945966926794
132,ac1-394,37999.81261950287,1007.1914767406632,63720.65708007813,59765.33155517578,441.2174639722712,0.7206424474187381,38046.0,58959.712851826174,-4760.944228251952,7.471586839207959
133,ac1-114,38997.6981981982,1209.1755382291017,62196.586694335936,57769.52509765625,443.3606284865025,0.7523783783783783,39010.0,57016.777938983156,-5179.80875535278,8.328123825844113
134,ac1-345,37995.06715634837,1189.5871803103382,54630.66585083008,50566.47815551758,431.9788102076698,0.7502077649527805,38012.0,59290.794305755,4660.128454924918,8.530242826711053
135,ac1-599,37000.49365303244,1126.7375466754988,65126.79344787598,60962.8154296875,442.255245853528,0.7662059238363891,37022.0,61470.32375395148,-3656.469693924497,5.614386184774997
136,ac2-138,36942.66902738433,2677.566751918819,70216.09991455078,60999.10281982422,444.3600613853484,0.7599999999999999,36954.0,64325.59738027715,-5890.5025342736335,8.389105264237202
137,ac1-131,37999.51859099804,1356.8839696947225,61724.8506225586,56989.3462097168,444.75845414474816,0.7680000000000001,38018.0,59574.198514275515,-2150.6521082830877,3.4842564811280208
138,ac1-161,36995.340311173975,2016.148643514304,70887.41663208009,63648.08229980469,445.9638878515146,0.76,37014.0,63043.35521239083,-7844.061419689257,11.065520218350612
139,ac2-343,37938.94549379385,1266.816269544735,64573.41074829102,59892.3374206543,443.98311490780753,0.7599999999999999,37960.0,59555.56433967315,-5017.846408617872,7.770762532859816
140,ac2-363,36998.96673003802,1490.8912505895132,67984.42542114257,62523.17320556641,445.861877435118,0.7600076045627375,37016.0,62113.03145480799,-5871.393966334581,8.636380950435491
141,ac2-294,36000.74070981211,1546.1121269646262,61561.557366943365,56263.598406982426,435.9458797102957,0.7596192066805845,36022.0,64508.21720893963,2946.6598419962684,4.786525825577201
142,ac2-302,37494.46976744186,1327.8045704301535,63775.0881652832,58894.434191894536,438.6697809453701,0.72,37950.0,60685.95104931298,-3089.137115970225,4.843799052012658
143,ac2-187,34400.472844663884,2900.9255959818165,72665.4987487793,62178.44299926758,442.4978532423213,0.7600030383592858,35012.0,70570.65975103308,-2094.838997746221,2.8828522941658226
144,ac1-515,36996.861764705885,1128.4230151785,65462.45180664063,61107.96499023438,444.21549828517857,0.6799999999999999,37010.0,61481.64407399435,-3980.807732646281,6.08105505184036
145,ac2-192,33002.67542503864,1061.8060056037364,69689.93275756836,65262.87116088867,440.9862775623697,0.656,33022.0,70560.69499866785,870.7622410994954,1.249480673383101
146,ac1-149,36487.92727272727,2776.9061308058454,66260.77438964845,57098.20838012696,443.4012120405789,0.0,37014.0,65546.93692856836,-713.837461080082,1.0773153010291423
147,ac2-221,30006.0,905.120921114002,61144.2523803711,57461.08228149415,403.0259008112977,0.648,30006.0,77185.0399493641,16040.787568993,26.234334290662638
148,ac2-116,36000.86577437859,1726.4798752399506,68456.16149291993,62142.15560913086,441.15291677405565,0.7279999999999999,36016.0,64824.52541078886,-3631.6360821310664,5.305053632764186
