,ac,mean_cruise_altitude,max_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach
688,a320,33672.72727272727,34200,600,67180,64970,457.1818181818182,0.7769636363636363
689,a320,40952.0,41000,1880,55140,49770,461.36,0.7924839999999999
690,a320,37753.333333333336,38300,990,61160,57830,460.73333333333335,0.7886466666666667
691,a320,37688.88888888889,38600,1390,61830,57320,461.27777777777777,0.7890611111111111
692,a320,40966.666666666664,41000,990,52460,49470,461.2,0.7924266666666665
693,a320,40900.0,41000,500,51790,50050,459.0,0.7884166666666667
694,a320,38848.78048780488,40700,2670,61830,53830,461.1463414634146,0.7898097560975609
695,a320,40974.60317460317,41000,3760,55140,45250,459.41269841269843,0.7890857142857144
696,a320,32872.72727272727,34400,1690,70530,64520,458.09090909090907,0.7777227272727273
697,a320,34132.692307692305,36900,3170,70530,60190,459.84615384615387,0.7822499999999999
698,a320,40640.0,41000,1880,57140,51640,461.28,0.7922159999999998
699,a320,33447.5,35800,3070,72540,62140,459.875,0.7812975
700,a320,38045.16129032258,39500,2180,62500,55750,461.0,0.789116129032258
701,a320,32604.545454545456,34100,2280,73200,64990,457.59090909090907,0.7764272727272729
702,a320,40825.92592592593,41000,1980,56470,50770,461.1111111111111,0.7921888888888888
703,a320,38469.565217391304,39600,1780,61160,55600,461.2173913043478,0.789804347826087
704,a320,39728.57142857143,41000,2380,59820,52810,461.25714285714287,0.790997142857143
705,a320,40678.43137254902,41000,3170,57810,49030,460.6666666666667,0.7907607843137255
706,a320,37391.666666666664,37800,700,61160,58690,459.5833333333333,0.7857083333333333
707,a320,39607.142857142855,40100,900,57810,54890,460.85714285714283,0.7903642857142857
708,a320,35977.77777777778,37000,1290,64500,60140,460.72222222222223,0.7863388888888889
709,a320,32247.058823529413,33600,1980,73200,65940,457.47058823529414,0.7757117647058823
710,a320,40952.380952380954,41000,1690,51790,47100,460.4761904761905,0.7907761904761903
711,a320,33970.0,35200,1590,68520,62980,458.2,0.77926
712,a320,37674.62686567164,40700,3960,65840,53880,460.55223880597015,0.7879089552238807
713,a320,32842.857142857145,34600,2570,73200,64070,459.60714285714283,0.7800857142857144
714,a320,40962.857142857145,41000,2380,53130,46700,460.0,0.7900142857142857
715,a320,33278.37837837838,35400,4060,77220,62700,459.6756756756757,0.7807864864864865
716,a320,35693.75,36500,990,64500,61040,460.25,0.78510625
717,a320,35184.21052631579,36300,1590,66510,61120,460.5263157894737,0.7846947368421053
718,a320,37894.73684210526,38900,1590,61830,56770,461.5263157894737,0.7891421052631579
719,a320,40101.49253731343,41000,3960,60490,49400,460.4925373134328,0.7901029850746268
720,a320,33151.51515151515,35100,3270,74540,63170,459.6060606060606,0.7805272727272726
721,a320,39033.333333333336,40300,1980,60490,54460,461.0,0.7903555555555556
722,a320,39600.0,39900,500,57140,55320,458.8333333333333,0.7865833333333333
723,a320,32195.0,33800,1690,71870,65730,458.05,0.7766750000000001
724,a320,38863.380281690144,41000,4150,63840,51710,460.5633802816901,0.7892366197183099
725,a320,40975.40983606558,41000,3660,53130,43700,458.59016393442624,0.7876557377049183
726,a320,40946.666666666664,41000,2870,55800,47960,460.4222222222222,0.7906666666666666
727,a320,35254.41176470588,38600,3960,69860,57350,460.0735294117647,0.7840941176470588
728,a320,33270.58823529412,35300,3860,76550,62920,459.5882352941176,0.7806764705882353
729,a320,33442.10526315789,34700,1490,69190,63920,457.7368421052632,0.7778052631578948
730,a320,40426.229508196724,41000,3660,59150,48980,460.4918032786885,0.7903573770491802
731,a320,40844.444444444445,41000,1390,55800,51650,461.6111111111111,0.7930055555555555
732,a320,40911.11111111111,41000,1390,55140,51020,461.6666666666667,0.7931722222222223
733,a320,37835.84905660377,40200,3270,64500,54590,461.1698113207547,0.7884037735849055
734,a320,40952.380952380954,41000,1690,53800,49000,461.0952380952381,0.7921190476190476
735,a320,33590.6976744186,36000,3860,75210,61760,459.83720930232556,0.7815465116279071
736,a320,34640.32258064516,37800,4350,73200,58740,460.01612903225805,0.7833209677419355
737,a320,36396.55172413793,37900,2080,65170,58460,460.82758620689657,0.7867758620689654
738,a320,34401.724137931036,37400,3460,70530,59320,459.86206896551727,0.782701724137931
739,a320,39720.0,40200,990,57810,54620,461.53333333333336,0.7910866666666667
740,a320,40974.60317460317,41000,3760,54470,44660,459.14285714285717,0.7886190476190476
741,a320,35268.333333333336,38300,3560,69190,57910,460.15,0.7842583333333334
742,a320,38730.769230769234,39100,800,59150,56460,461.0769230769231,0.7894769230769231
743,a320,40957.89473684211,41000,3460,55800,46540,459.859649122807,0.7897543859649122
744,a320,40400.0,41000,1390,57140,52910,461.55555555555554,0.7924611111111111
745,a320,34294.444444444445,35400,1190,67180,62970,459.6111111111111,0.7818388888888889
746,a320,40753.846153846156,41000,2570,57140,49900,461.02564102564105,0.7914307692307693
747,a320,34788.88888888889,35900,1290,66510,62030,460.6666666666667,0.7841055555555555
748,a320,34348.57142857143,36300,2380,69190,61210,460.0571428571429,0.78298
749,a320,34702.083333333336,37200,2970,69190,59610,460.0625,0.7834708333333333
750,a320,33388.23529411765,34400,1090,68520,64560,459.3529411764706,0.7805117647058823
751,a320,38631.11111111111,40600,2870,62500,53900,461.22222222222223,0.7894933333333334
752,a320,40563.15789473684,41000,3460,58480,48890,460.5438596491228,0.7905210526315789
753,a320,40300.0,41000,3070,59150,50460,460.9795918367347,0.7908836734693877
754,a320,37280.645161290326,38800,2180,63840,56960,460.96774193548384,0.7880967741935484
755,a320,40743.07692307692,41000,3860,57810,47350,460.0,0.7899446153846154
756,a320,36885.71428571428,37200,500,61830,59920,458.57142857142856,0.7832714285714285
757,a320,35623.94366197183,39000,4150,69860,56660,460.19718309859155,0.7848507042253522
758,a320,38900.0,40400,2280,61160,54280,461.09090909090907,0.7900545454545455
759,a320,37900.0,38200,700,60490,58040,460.1818181818182,0.7874545454545455
760,a320,33945.0,36200,2570,69860,61360,459.925,0.7821400000000001
761,a320,40933.333333333336,41000,2280,55800,49410,461.0,0.791678787878788
762,a320,40976.119402985074,41000,3960,54470,44200,458.95522388059703,0.7883253731343285
763,a320,39946.51162790698,41000,2770,59820,51800,461.25581395348837,0.7909069767441861
764,a320,40617.391304347824,41000,1780,57140,51890,461.39130434782606,0.7923043478260869
765,a320,39438.29787234042,41000,2970,61160,52470,461.2340425531915,0.7903659574468085
766,a320,40960.0,41000,990,55140,52060,461.93333333333334,0.7931933333333333
767,a320,40151.851851851854,41000,1980,58480,52620,461.22222222222223,0.7916851851851853
768,a320,33244.444444444445,35400,3560,75210,62790,459.6388888888889,0.7807055555555558
769,a320,40971.698113207545,41000,3270,53800,45220,459.24528301886795,0.788867924528302
770,a320,38345.333333333336,41000,4350,65170,52300,460.4266666666667,0.7886106666666667
771,a320,33715.555555555555,36200,2970,71200,61330,459.9111111111111,0.7817933333333333
772,a320,32500.0,34000,2380,73870,65250,457.4761904761905,0.7760571428571429
773,a320,38982.857142857145,40500,2380,61160,54010,461.1142857142857,0.7900942857142856
774,a320,33397.5,35700,3860,75880,62280,459.8,0.781125
775,a320,40988.23529411765,41000,1290,51120,47440,460.7647058823529,0.7914882352941176
776,a320,40977.464788732395,41000,4150,55140,44340,459.0845070422535,0.7885183098591549
777,a320,37625.64102564102,39400,2570,63840,55870,461.1025641025641,0.7884000000000001
778,a320,40742.857142857145,41000,900,55800,52950,461.2857142857143,0.7920928571428572
779,a320,36910.0,37300,600,61830,59630,458.9,0.7842499999999999
780,a320,37218.181818181816,39300,2770,64500,56070,461.1363636363636,0.787740909090909
781,a320,40914.28571428572,41000,900,52460,49710,461.2142857142857,0.7916214285714285
782,a320,40968.085106382976,41000,2970,55140,47120,460.17021276595744,0.7903382978723403
783,a320,34200.0,35200,1090,67180,63290,459.94117647058823,0.7825529411764706
784,a320,40950.0,41000,1190,53130,49610,461.0,0.792
785,a320,35625.0,36100,500,63840,61900,457.375,0.7798499999999999
786,a320,39063.15789473684,40000,1590,59820,54890,461.63157894736844,0.7906000000000001
787,a320,33181.48148148148,34900,1980,70530,63600,459.7037037037037,0.7807296296296298
788,a320,33433.333333333336,35700,2670,71200,62220,459.79487179487177,0.7812641025641025
789,a320,40437.20930232558,41000,2770,58480,50600,461.09302325581393,0.7911953488372091
790,a320,40967.441860465115,41000,2770,53800,46380,459.8139534883721,0.7897279069767442
791,a320,40970.58823529412,41000,3170,53130,44840,459.03921568627453,0.7884607843137255
792,a320,40972.72727272727,41000,3360,54470,45580,459.4909090909091,0.7892236363636365
793,a320,34833.333333333336,35300,500,65170,63240,456.0,0.7769222222222222
794,a320,33492.857142857145,35900,3960,75880,61980,459.8095238095238,0.7813023809523808
795,a320,32421.052631578947,33800,2970,76550,65560,456.89473684210526,0.7749789473684211
796,a320,36059.09090909091,38300,2770,66510,57840,460.6136363636364,0.7860022727272725
797,a320,32993.333333333336,33900,800,68520,65650,458.2,0.7778933333333334
798,a320,34651.51515151515,36500,2280,68520,60910,460.27272727272725,0.7836060606060605
799,a320,39986.4406779661,41000,3560,60490,50380,460.77966101694915,0.7903661016949152
800,a320,36287.878787878784,39400,3860,67850,55960,460.3636363636364,0.7859075757575757
801,a320,38750.0,39500,1290,59820,55710,460.22222222222223,0.7881888888888889
802,a320,39601.88679245283,41000,3270,61160,51710,461.0566037735849,0.7903245283018868
803,a320,40947.619047619046,41000,1690,54470,49630,461.42857142857144,0.7925190476190477
804,a320,40854.92957746479,41000,4150,57140,46070,459.59154929577466,0.7894
805,a320,38087.80487804878,40000,2670,63170,55010,461.1463414634146,0.7889390243902439
806,a320,40976.811594202896,41000,4060,53130,42800,458.2173913043478,0.7870304347826086
807,a320,33458.333333333336,35600,3660,75210,62480,459.72222222222223,0.7811527777777778
808,a320,35785.365853658535,37900,2670,67180,58560,460.6341463414634,0.7855658536585365
809,a320,36291.42857142857,38100,2380,65840,58220,460.9142857142857,0.7864800000000001
810,a320,40906.779661016946,41000,3560,56470,46900,459.89830508474574,0.7898915254237289
811,a320,40952.17391304348,41000,1780,53130,48130,460.8695652173913,0.7914608695652174
812,a320,35983.333333333336,38100,2670,66510,58120,460.6666666666667,0.7858833333333334
813,a320,32405.555555555555,33700,1290,70530,65810,459.1111111111111,0.7788222222222222
814,a320,38279.45205479452,41000,4250,65170,52560,460.43835616438355,0.788572602739726
815,a320,40966.666666666664,41000,2570,51120,44390,458.71794871794873,0.7878461538461538
816,a320,40900.0,41000,500,53130,51360,459.8333333333333,0.78925
817,a320,33829.166666666664,36400,3760,73870,61000,459.9583333333333,0.7820791666666667
818,a320,40463.76811594203,41000,4060,59150,48070,457.463768115942,0.7851434782608695
819,a320,37617.54385964912,40200,3460,65170,54630,460.94736842105266,0.7880315789473684
820,a320,40172.602739726026,41000,4250,60490,48670,460.24657534246575,0.7898863013698629
821,a320,40000.0,41000,2280,59150,52460,461.24242424242425,0.7913030303030303
822,a320,40625.58139534884,41000,2770,57810,50010,460.9767441860465,0.7912302325581394
823,a320,35934.0,38400,3070,67180,57590,460.36,0.7856779999999999
824,a320,35752.17391304348,37000,1780,65840,59930,460.6521739130435,0.785691304347826
825,a320,40724.59016393442,41000,3660,57810,47780,458.1803278688525,0.7865377049180327
826,a320,40412.19512195122,41000,2670,58480,50850,461.1707317073171,0.7912829268292683
827,a320,40921.42857142857,41000,900,51790,49060,460.7142857142857,0.7911785714285714
828,a320,34268.96551724138,37300,4060,73200,59600,460.0344827586207,0.7828241379310346
829,a320,40964.38356164384,41000,4250,55800,44690,459.1917808219178,0.7886794520547945
830,a320,38036.11111111111,41000,4150,65170,52950,460.5416666666667,0.788273611111111
831,a320,37454.28571428572,39100,2380,63840,56420,461.0571428571429,0.7882600000000001
832,a320,40958.06451612903,41000,2180,55140,49040,461.03225806451616,0.7918806451612903
833,a320,34011.53846153846,36800,3960,73870,60420,459.8269230769231,0.7821596153846155
834,a320,34254.545454545456,36100,2280,69190,61500,460.0,0.7828151515151515
835,a320,32380.0,33900,1590,71200,65450,458.0,0.7769199999999999
836,a320,40088.0,41000,1880,58480,52870,461.24,0.7916960000000001
837,a320,40372.0,41000,4350,59820,47870,460.05333333333334,0.7897786666666667
838,a320,40971.42857142857,41000,3070,51790,43860,458.53061224489795,0.7874897959183673
839,a320,35733.333333333336,36800,1390,65170,60470,461.0,0.7858722222222222
840,a320,34829.72972972973,36800,2480,68520,60320,460.35135135135135,0.7839135135135135
841,a320,40952.17391304348,41000,1780,53800,48760,461.04347826086956,0.7918913043478261
842,a320,40921.42857142857,41000,900,51120,48410,460.07142857142856,0.7906857142857143
843,a320,32372.41379310345,34200,2180,72540,64760,457.9655172413793,0.776603448275862
844,a320,33365.78947368421,35600,3960,76550,62490,459.7368421052632,0.7810184210526316
845,a320,34276.0,35800,1880,68520,62080,460.08,0.782944
846,a320,34272.22222222222,37100,3660,71870,59830,460.05555555555554,0.7828351851851851
847,a320,39457.89473684211,40400,1590,59150,54270,461.6842105263158,0.7910315789473684
848,a320,34196.0,36900,4060,73870,60250,460.02,0.7826660000000001
849,a320,40960.606060606064,41000,2280,53800,47560,460.45454545454544,0.7907818181818181
850,a320,37749.01960784314,40100,3170,64500,54850,461.2156862745098,0.7883274509803923
851,a320,38217.142857142855,39800,2380,62500,55220,461.0571428571429,0.7892228571428571
852,a320,35381.63265306123,37900,3070,68520,58600,460.44897959183675,0.7847428571428571
853,a320,40352.17391304348,41000,1780,57810,52510,461.3478260869565,0.7920826086956518
854,a320,38766.666666666664,39800,1690,60490,55250,461.5238095238095,0.7902095238095238
855,a320,40955.555555555555,41000,1980,53800,48270,460.77777777777777,0.7914481481481482
856,a320,35894.28571428572,37700,2380,66510,58820,460.8285714285714,0.7858314285714285
857,a320,33323.07692307692,34000,700,67850,65310,457.9230769230769,0.7779153846153846
858,a320,39628.35820895522,41000,3960,61830,50530,460.67164179104475,0.7899134328358208
859,a320,33083.333333333336,34300,1190,69190,64870,458.8888888888889,0.7793444444444445
860,a320,39877.611940298506,41000,3960,61160,49970,460.5820895522388,0.7900522388059702
861,a320,40957.37704918033,41000,3660,55800,46070,459.6393442622951,0.78947868852459
862,a320,35300.0,37600,2770,67850,59020,460.25,0.7846477272727274
863,a320,39697.77777777778,41000,2870,60490,52130,461.26666666666665,0.7906511111111112
864,a320,36976.470588235294,37800,1090,62500,58830,461.1764705882353,0.7880823529411766
865,a320,40978.666666666664,41000,4350,54470,43300,458.62666666666667,0.7877346666666667
866,a320,40964.10256410256,41000,2570,54470,47460,460.4102564102564,0.7906564102564102
867,a320,40845.16129032258,41000,2180,56470,50270,461.0967741935484,0.7919354838709676
868,a320,34555.555555555555,35700,1390,67180,62360,460.22222222222223,0.7835666666666667
869,a320,39988.23529411765,40600,1290,57810,53810,461.11764705882354,0.7914588235294119
870,a320,33650.0,36100,4250,76550,61600,459.84090909090907,0.7815727272727272
871,a320,34604.83870967742,37800,4150,72540,58780,460.14516129032256,0.7834645161290325
872,a320,35213.333333333336,35900,900,65170,61990,460.1333333333333,0.78434
873,a320,33300.0,35700,2870,71870,62200,459.6666666666667,0.7808190476190477
874,a320,37572.22222222222,38400,1290,61830,57610,460.72222222222223,0.7882166666666666
875,a320,40966.666666666664,41000,990,51790,48820,461.1333333333333,0.7920066666666667
876,a320,38222.72727272727,39300,1690,61160,56030,461.1363636363636,0.7895318181818183
877,a320,35523.529411764706,36300,1190,65170,61070,460.47058823529414,0.7852764705882352
878,a320,37961.53846153846,40800,3860,65170,53590,460.7230769230769,0.7883076923076924
879,a320,37834.28571428572,39500,2380,63170,55820,461.0571428571429,0.7887657142857143
880,a320,36992.1568627451,39400,3170,65840,56010,460.98039215686276,0.78728431372549
881,a320,40976.119402985074,41000,3960,53800,43620,458.65671641791045,0.787789552238806
882,a320,40941.666666666664,41000,800,53800,51270,460.75,0.7917833333333334
883,a320,39766.666666666664,40600,1490,58480,53910,461.6111111111111,0.7914055555555555
884,a320,40978.08219178082,41000,4250,53800,42940,458.4109589041096,0.787327397260274
885,a320,36840.0,37400,900,62500,59430,458.2,0.7827133333333333
886,a320,34385.0,37500,4060,72540,59220,460.05,0.7829483333333335
887,a320,37033.333333333336,38000,1490,63170,58300,461.3333333333333,0.7879888888888888
888,a320,40982.35294117647,41000,1290,55140,51280,461.6470588235294,0.7930647058823529
889,a320,35661.90476190476,36800,1690,65840,60210,460.6190476190476,0.7855476190476189
890,a320,32972.22222222222,35100,2670,72540,63210,459.69444444444446,0.7804055555555557
891,a320,34394.444444444445,35500,1290,67180,62660,460.27777777777777,0.7832722222222221
892,a320,34277.77777777778,35400,1490,67850,62670,460.3333333333333,0.7831388888888887
893,a320,40782.22222222222,41000,2870,57140,49160,460.73333333333335,0.7910511111111111
894,a320,40768.49315068493,41000,4250,57810,46410,459.6986301369863,0.7895164383561644
895,a320,40926.76056338028,41000,4150,56470,45360,458.3943661971831,0.7873098591549297
896,a320,33174.28571428572,35300,2380,71200,62990,459.62857142857143,0.7806285714285713
897,a320,37582.75862068965,39000,2080,63170,56630,461.0,0.7885379310344828
898,a320,39091.48936170213,41000,2970,61830,53050,461.1914893617021,0.7900212765957444
899,a320,40963.380281690144,41000,4150,55800,44920,459.2676056338028,0.7888169014084506
900,a320,33096.77419354839,35000,3860,77220,63440,459.38709677419354,0.7801645161290324
901,a320,35793.93939393939,37500,2280,66510,59100,460.7878787878788,0.7857151515151515
902,a320,40320.289855072464,41000,4060,59820,48590,460.27536231884056,0.7900289855072464
903,a320,34867.64705882353,38200,4250,71870,57980,460.1617647058824,0.7837749999999999
904,a320,40800.0,41000,1090,55800,52430,461.4375,0.7927062500000001
905,a320,40955.555555555555,41000,600,51790,49800,460.55555555555554,0.7908333333333333
906,a320,35606.666666666664,36300,900,64500,61340,460.6,0.78522
907,a320,39204.91803278688,41000,3660,62500,51850,460.9344262295082,0.7897803278688524
908,a320,39552.380952380954,40500,1690,59150,54010,461.5238095238095,0.7910666666666667
909,a320,40391.228070175435,41000,3460,59150,49470,460.6666666666667,0.7905421052631578
910,a320,36911.11111111111,37900,1390,63170,58580,461.1111111111111,0.7879
911,a320,32731.25,33700,900,69190,65840,458.125,0.7777437500000001
912,a320,32872.41379310345,34700,3360,75880,63930,459.2758620689655,0.7797103448275862
913,a320,33190.90909090909,35200,3960,77220,63130,459.4848484848485,0.7804575757575757
914,a320,37710.0,38100,600,60490,58260,459.6,0.7863399999999999
915,a320,35353.22580645161,38400,3660,69190,57630,460.16129032258067,0.7843951612903225
916,a320,40603.1746031746,41000,3760,58480,48170,460.22222222222223,0.7901777777777779
917,a320,40964.86486486487,41000,2480,51120,44620,458.8378378378378,0.7880567567567569
918,a320,36057.142857142855,37200,1690,65170,59600,460.6190476190476,0.7862333333333333
919,a320,35578.94736842105,36700,1590,65840,60500,460.4736842105263,0.7853894736842105
920,a320,40955.555555555555,41000,600,51120,49140,460.44444444444446,0.7904000000000001
921,a320,39854.545454545456,40100,700,57140,54780,460.3636363636364,0.7900636363636363
922,a320,40933.333333333336,41000,800,55140,52570,461.4166666666667,0.7925333333333332
923,a320,40766.666666666664,41000,500,55140,53340,458.6666666666667,0.78755
924,a320,40974.57627118644,41000,3560,51790,42740,457.9830508474576,0.7866322033898305
925,a320,34371.42857142857,37300,3760,71870,59540,460.07142857142856,0.7829892857142857
926,a320,38993.75,39600,1090,59150,55630,461.25,0.79029375
927,a320,37128.57142857143,37700,800,61830,59020,458.85714285714283,0.7842142857142856
928,a320,36485.71428571428,36800,500,62500,60580,458.2857142857143,0.7825571428571428
929,a320,35165.15151515151,38400,3860,69860,57630,460.06060606060606,0.7839651515151516
930,a320,40913.04347826087,41000,1780,55800,50640,461.39130434782606,0.7925130434782609
931,a320,33894.230769230766,36700,4250,75210,60580,459.90384615384613,0.7821134615384615
932,a320,40965.85365853659,41000,2670,53130,46000,459.5853658536585,0.7893756097560974
933,a320,40965.85365853659,41000,2670,55140,47840,460.5121951219512,0.7908999999999999
934,a320,39445.94594594595,41000,2480,60490,53150,461.27027027027026,0.7906567567567567
935,a320,37943.75,38600,1190,61160,57260,461.75,0.7896624999999999
936,a320,36576.470588235294,37400,1090,63170,59470,461.1764705882353,0.7873941176470588
937,a320,38042.857142857145,40300,3070,63840,54540,461.2244897959184,0.7887244897959184
938,a320,39257.333333333336,41000,4350,63170,50660,460.38666666666666,0.7894586666666668
939,a320,36754.41176470588,39900,3960,67180,55130,460.4264705882353,0.7865779411764705
940,a320,33689.13043478261,36200,3460,73200,61360,459.9782608695652,0.7818586956521739
941,a320,40900.0,41000,3270,56470,47610,460.188679245283,0.7902943396226416
942,a320,40956.0,41000,1880,52460,47260,460.44,0.7907440000000001
943,a320,32794.444444444445,34100,1290,69860,65180,459.3888888888889,0.7798222222222222
944,a320,40761.971830985916,41000,4150,57810,46640,459.7887323943662,0.7896225352112677
945,a320,36479.48717948718,38400,2570,65840,57660,460.97435897435895,0.7867179487179486
946,a320,33047.36842105263,34300,1490,69860,64530,457.8421052631579,0.777363157894737
947,a320,40967.441860465115,41000,2770,53130,45770,459.48837209302326,0.7891837209302325
948,a320,33315.78947368421,35500,4150,77220,62540,459.63157894736844,0.7807473684210526
949,a320,33081.818181818184,35100,2280,71200,63290,459.6060606060606,0.7804454545454546
950,a320,33480.0,35000,1880,69860,63300,459.8,0.7814479999999999
951,a320,36827.65957446808,39100,2970,65840,56550,460.9574468085106,0.7870999999999999
952,a320,35064.0,36500,1880,67180,60860,460.52,0.784484
953,a320,40287.878787878784,41000,2280,58480,51860,461.2121212121212,0.7915757575757576
954,a320,35628.333333333336,38600,3560,68520,57340,460.25,0.7849466666666668
955,a320,40330.769230769234,40700,800,56470,53870,461.15384615384613,0.7911
956,a320,38725.0,39400,1190,59820,56000,461.8125,0.7906625
957,a320,34192.307692307695,34900,700,66510,63900,458.84615384615387,0.7807307692307692
958,a320,40124.637681159424,41000,4060,60490,49160,460.42028985507244,0.7900347826086956
959,a320,40740.54054054054,41000,2480,57140,50140,461.1081081081081,0.7915513513513514
