,fid,mean_cruise_altitude,distance,takeoff_mass,landing_mass,mean_cruise_tas,mean_cruise_mach,max_cruise_altitude
113,ac1-550,38485.499083689676,2625.852099858288,64410.11749267578,55882.58081054688,445.85296956206383,0.7614432905721847,39010.0
114,ac2-254,37999.73420479303,1480.7926992214602,63666.22599487305,58331.97964477539,441.42552940187886,0.741516339869281,38022.0
116,ac1-371,37003.10638297872,992.8559568529324,65607.6013671875,61434.55150146485,441.5027727481495,0.76,37022.0
117,ac1-297,37001.55995475113,1390.2594692731532,69290.77146606446,64083.53098144531,446.8821646841635,0.18405882352941172,37014.0
118,ac2-442,33850.53662842012,986.8013742431827,61289.40194091797,57479.225976562506,427.328732989203,0.7599999999999998,34012.0
119,ac2-131,35946.58127340824,1224.6743636553128,62704.61015625,58059.82421875,436.9477416587509,0.7599999999999999,35966.0
120,ac1-305,36999.35841313269,1801.8425310933767,64645.98552856445,58386.41072998048,445.20938867373457,0.7435430916552668,37022.0
121,ac2-269,36949.71469740634,1720.077319700919,69145.62190551759,63103.77144775391,446.9219896751505,0.592342939481268,36960.0
123,ac2-137,38998.737254901964,1233.5149756734063,63502.93273925781,58912.57788696289,451.27309617324835,0.7359560784313725,39010.0
124,ac2-227,38270.46041856233,2728.4465408856595,70034.66296386719,60763.23478393555,442.6840053529316,0.7636360327570517,38950.0
125,ac1-115,36002.03631647211,1241.4793553114216,66641.79198608399,61888.14387817383,440.8088716047438,0.7605447470817119,36014.0
126,ac1-564,37997.378800328675,1646.4607505838956,63303.35209350586,57696.95031738281,442.42606722811803,0.7686474938373048,38018.0
127,ac2-182,32946.76567656766,1081.4175739020664,68184.00606689454,63702.51338500977,441.53828660687014,0.7439999999999999,32958.0
128,ac1-294,34000.14649681529,1754.9357071657098,66877.66002197267,60454.79196777343,431.41322864677477,0.0,34008.0
129,ac2-420,38208.99965205289,2955.6332282166168,64918.14095458984,55338.269958496094,444.25389024434355,0.7599999999999999,39010.0
130,ac2-214,32949.75796866559,1478.2605159384873,69853.2260131836,64119.818371582034,443.4580820779739,0.7759999999999999,32958.0
131,ac2-219,38303.46433594535,2694.624532584169,66805.08524169921,57896.53096313476,442.6511829951142,0.7599999999999999,38950.0
133,ac1-036,35996.56215528214,2712.939792968826,68419.8741027832,58967.00897216797,442.3493257507242,0.7459601187950783,36022.0
134,ac2-258,37720.98039215686,1763.317958201579,66097.48113403321,59928.62481079101,445.1246809432149,0.6639999999999999,37954.0
135,ac2-443,35999.8835474513,2684.437320846995,72411.48701782226,62831.616021728514,441.90772398922905,0.6012648155822626,36020.0
136,ac1-156,37015.64401709402,2551.163028275893,63775.0881652832,55265.69517822266,439.0610385086897,0.7359999999999999,39010.0
137,ac1-572,38000.88644184446,2003.1562249602464,63575.50751953125,56680.90339355469,443.20638067275416,0.7447983482450103,38018.0
138,ac2-036,37941.78586909406,1614.7039943729112,60781.37847900391,55229.40778808594,447.7835456940427,0.776,37954.0
139,ac1-017,34671.592897907416,1161.7215403853688,68238.43715209962,63521.076434326176,444.8104093626167,0.7279999999999999,35006.0
140,ac2-396,35947.30656589514,2549.5291670111924,66641.79198608399,57914.674658203134,445.27337905312027,0.7681511572980633,35960.0
141,ac2-418,38001.39381443299,1826.716297462857,64119.818371582034,57932.81835327149,442.3399755302045,0.744,38014.0
142,ac2-360,36723.906236178686,2633.2652195127894,63865.80664062501,55120.54561767578,440.85390616291255,0.7713666519239274,38948.0
143,ac1-025,33001.84520123839,1068.0012539462089,64700.41661376953,60491.07935791016,436.2138395059611,0.7304396284829721,33022.0
144,ac1-008,37322.274418604655,1269.3036977684187,59620.18199462891,55265.69517822266,441.1766619284384,0.7599999999999999,38006.0
146,ac2-483,35998.765196662695,2793.151271251568,70796.69815673829,60944.67173461914,441.2061341614594,0.7359999999999999,36018.0
147,ac1-138,35474.19154030327,973.0889392568264,55610.425384521484,52054.26115112305,421.304395661278,0.7604916201117317,37998.0
148,ac2-102,36169.93808948005,2596.526823579469,69073.04712524415,60073.774371337895,439.52465275126167,0.049257557436517524,37938.0
149,ac1-021,36995.5579012729,2029.6114332857148,70016.51926879883,62015.14974365235,446.10840353121785,0.776,37014.0
150,ac2-096,35999.124468731025,2606.6113579852627,71468.01487426758,62232.874084472656,441.5460753537289,0.7634551710180124,36014.0
152,ac2-390,37943.482388973964,1768.4104223682175,63502.93273925781,57370.363806152345,440.1557848780778,0.7679999999999999,37954.0
154,ac1-130,37995.948420373956,1216.9702538212612,63684.369689941406,59148.44592285156,443.97454313086564,0.7680000000000001,38028.0
155,ac1-087,33000.956359567324,1701.0839574270262,63865.80664062501,57696.95031738281,439.20839558249037,0.7359999999999998,33014.0
156,ac1-146,36000.033866415804,958.3217105456416,56626.472308349614,53088.451770019536,425.7280958866444,0.7380244590780808,36018.0
157,ac1-222,38999.11973756151,1378.651406531599,56281.74210205078,51509.95029907227,440.2582270894046,0.768,39010.0
158,ac2-301,32951.1103117506,1472.4484661186436,70959.99141235353,65299.15855102539,443.7620266239988,0.7452182254196642,32962.0
159,ac1-137,37001.89203084833,1114.9608792570418,62178.44299926758,58005.39313354492,443.5607356080172,0.7600137103684661,37016.0
160,ac2-147,37999.984,1190.547525149962,60853.95325927735,56535.75383300781,440.22551563620743,0.76,38014.0
161,ac2-271,33000.98563535912,1703.6761219164357,68637.59844360352,62232.874084472656,440.32010411605097,0.776,33014.0
162,ac1-394,37999.81261950287,1007.1914767406632,63720.65708007813,59765.33155517578,441.2174639722712,0.7206424474187381,38046.0
163,ac1-114,38997.698198198195,1209.1755382291017,62196.586694335936,57769.52509765625,443.3606284865025,0.7523783783783783,39010.0
165,ac1-345,37995.06715634837,1189.5871803103382,54630.66585083008,50566.47815551758,431.9788102076698,0.7502077649527805,38012.0
166,ac1-599,37000.49365303244,1126.7375466754988,65126.79344787598,60962.8154296875,442.255245853528,0.7662059238363891,37022.0
168,ac2-138,36942.66902738433,2677.566751918819,70216.09991455078,60999.10281982422,444.3600613853484,0.7599999999999999,36954.0
170,ac1-131,37999.51859099804,1356.8839696947225,61724.8506225586,56989.3462097168,444.75845414474816,0.7680000000000001,38018.0
